Worker_ID,Name,Primary_Service,Rating,Total_Reviews,Experience_Years,City,Hourly_Rate_INR,Availability,Phone
WRK0001,Rohan Sharma,Painting,3.6,83,9,Ahmedabad,502,Available,+91 95741 21395
WRK0002,Vihaan Yadav,Plumbing,4.1,25,8,Delhi,559,Available,+91 73031 95181
WRK0003,Vikas Jat,Carpentry,4.7,15,9,Vadodara,342,Available,+91 87696 54597
WRK0004,Radha Mishra,Cleaning,3.4,445,13,Mumbai,222,Available,+91 99565 44671
WRK0005,Rakesh Gupta,Appliance Repair,4.2,436,3,Hyderabad,298,Available,+91 83700 85674
WRK0006,Sai Prajapati,Electrician,4.7,455,3,Ahmedabad,432,Available,+91 84911 46434
WRK0007,Ritu Chauhan,Electrician,3.6,148,12,Ahmedabad,287,Available,+91 99920 93227
WRK0008,Vijay Chauhan,Appliance Repair,3.7,339,13,Delhi,366,Busy,+91 74392 99733
WRK0009,Ayaan Prajapati,Cleaning,3.9,45,11,Rajkot,308,Available,+91 97170 51245
WRK0010,Manish Gurjar,Plumbing,3.5,393,9,Delhi,582,Available,+91 95322 44438
WRK0011,Ashok Makwana,Plumbing,4.1,58,5,Surat,521,Available,+91 67185 30033
WRK0012,Santosh Vyas,Cleaning,3.9,251,13,Delhi,205,Available,+91 76476 82512
WRK0013,Rohan Trivedi,Electrician,3.4,234,11,Vadodara,569,Busy,+91 89735 10425
WRK0014,Pooja Dutt,Plumbing,4.8,457,17,Gandhinagar,301,Available,+91 93270 89818
WRK0015,Mahesh Trivedi,Carpentry,4.3,262,1,Surat,357,Available,+91 67331 57576
WRK0016,Sanjay Pandya,Cleaning,4.5,429,3,Ahmedabad,265,Available,+91 94911 26483
WRK0017,Ganesh Panchal,Carpentry,4.0,120,20,Delhi,404,On Leave,+91 73182 50857
WRK0018,Preeti Jat,Carpentry,3.4,127,15,Ahmedabad,501,Available,+91 82156 12757
WRK0019,Vikas Patel,Cleaning,3.6,475,2,Surat,463,Available,+91 81654 19287
WRK0020,Hardik Rathore,Carpentry,4.5,463,5,Hyderabad,324,Busy,+91 97762 71953
WRK0021,Kishore Thakur,Cleaning,4.4,193,4,Pune,573,Available,+91 86941 71213
WRK0022,Dhruv Singh,Appliance Repair,4.6,67,11,Rajkot,474,Available,+91 72556 34931
WRK0023,Santosh Pandey,Electrician,3.6,50,15,Bengaluru,225,Available,+91 96066 22833
WRK0024,Tushar Patel,Cleaning,3.5,260,8,Bengaluru,230,Available,+91 74008 62565
